"6708-DPYTF","30","2268.28","7.8","1881.05"
"4460-ZXNDN","28","1928.71","12.3","1744.78"
"8102-ABPKQ","27","1696.26","14.6","1640.25"
"1080-NDGAE","31","2646.81","3.3","1609.4"
"5573-KSOIA","24","1922.87","7.9","1608.94"
"8690-EEBEO","31","1875.18","7.4","1584.86"
"3448-OWJOT","28","1975.5","7.7","1578.05"
"9322-YCTQO","19","1671.23","6.1","1525.41"
"9181-HEKGV","23","1770.61","12.3","1470.33"
"3831-FXWYK","26","1813.66","6.3","1383.45"
"1604-LIFKX","20","1365.47","13.9","1365.47"
"0783-PEPYR","21","1406.1","10.2","1334.32"
"7758-WKLVM","23","1410.08","11.9","1231.68"
"7228-LEPPM","24","1290.55","10.9","1228.69"
"0688-XNJRO","34","1231.45","14.4","1181"
"5613-UHVMG","22","1307.85","12.8","1167.88"
"7938-EVASK","21","1445.78","7.5","1133.36"
"2621-XCLEH","15","1110.74","19.6","1073.25"
"1447-YZKCL","23","1622.42","4.3","1069.76"
"9725-EZTEJ","26","2146.1","3","1039.99"
"4640-FGEJI","35","2635.46","3.5","1003.64"
"5148-SYKLB","19","1493.01","6.7","994.14"
"5529-TBPGK","23","1407.96","4.1","978.18"
"9117-LYRCE","23","1182.23","10.8","965.81"
"9928-IJYBQ","22","1256.11","4.2","961.86"
"4632-QZOKX","17","977.45","8.8","879.99"
"7209-MDWKR","24","1534.07","3.8","870.15"
"2125-HJDLA","21","1053","7.8","833.05"
"9883-SDWFS","31","1048.14","7.6","826.71"
"8887-NCUZC","35","1199.29","5.1","796.46"
"8156-PCYBM","31","2052.93","2.1","753.27"
"1408-OQZUE","23","1060.18","8.4","749.65"
"9323-NDIOV","27","1467.69","4.9","732.32"
"5164-VMYWJ","31","2185.84","2.5","687.36"
"3676-CQAIF","17","709.3","9","678.11"
"8389-TCXFQ","33","2095.84","3","677.39"
"0465-DTULQ","26","1360.12","5.3","670.39"
"6627-ELFBK","27","1783.56","2.2","593.83"
"6831-FIODB","26","1171.92","5.5","584.34"
"7600-OISKG","23","1491.36","2.6","575.45"
"5592-UQXSS","25","1039.06","4.1","566.4"
"5875-VZQCZ","21","1460","4","555.72"
"5924-UOPGH","29","2330.01","2","554.75"
"0709-LZRJV","25","1269.08","4.1","544.23"
"8364-UWVLM","21","1598.16","2.9","494.63"
"9014-WENVB","22","1400.62","2.5","458.47"
"7841-HROAQ","22","1521.72","2.3","447.7"
"9174-IYKOC","29","1789.13","1.7","418.96"
"7856-ODQFO","28","1266.58","1.7","379.12"
"3569-VJWXS","24","1388.7","1.3","373.66"
"8976-AMJEO","27","1883.62","1.3","368.41"
"7050-KQLDO","21","1337.81","0.5","357.84"
"0706-NRGUP","18","536.08","3.8","325.42"
"7946-HJDUR","30","1584.35","1.4","322.6"
"0625-TNJFG","28","1627.26","0.7","301.94"
"4651-PMEXQ","21","1647.2","0.7","297.3"
"2423-QOKIO","21","1438.47","1.7","294.77"
"9758-AIEIK","21","1295.38","1.3","292.72"
"5196-TWQXF","28","1610.5","0.9","280.63"
"3271-YDPUJ","19","824.51","2.4","274.29"
"9149-MATVB","36","1694.3","0.5","230.74"
"7654-DOLHO","24","756.14","1.1","163.97"
"7260-ZHAKS","23","1536.09","0.5","160.51"
"6048-QPZCF","30","2377.79","0.1","150.39"
"6833-ETVHD","33","2337.36","0.2","149.99"
"2447-JCFGW","23","1187.96","0.2","142.56"
"1168-BEASA","23","1218.57","1.2","134.18"
"2824-HJQPP","30","1862.62","0.3","133.47"
"9250-VHLWY","26","1320.39","0.4","131.9"
"3568-JJMFW","28","2024.92","0.3","130.85"
"5284-DJOZO","30","2080.43","0.2","117.71"
"7329-TWKLF","22","1670.79","0.2","104.06"
"9841-XLGBV","20","885.25","0.7","96.28"
"5920-DPXLN","28","1594.91","0.2","94.09"
"6160-HCSFI","30","2153.12","0.1","69.85"
"2687-XWAMA","28","1474.73","0.3","60.22"
"6391-GBFQJ","19","338.28","0.7","59.94"
"0379-NEVHP","27","1584.18","0.6","48.65"
"9212-BTDMX","28","1575.07","0.1","47.21"
"2026-XLBER","21","1166.43","0.1","44.88"
"7372-CESLR","25","907.59","0.1","41.76"
"8942-ERSWK","30","690.86","0","37.13"
"6077-FDQRK","28","1247.93","0","36.86"
"customerID","1","0","0","0"
"9771-QTLGZ","22","1152.95","0","0"
"9460-VAZGD","20","958.35","0","0"
"9286-VLKMI","34","1876.09","0","0"
"8820-BLYDZ","24","1789.63","0","0"
"7695-NKUXM","19","971.38","0","0"
"7245-CKNCN","17","1269.52","0","0"
"6632-CGYHU","20","1569.49","0","0"
"6296-UKEUZ","19","632.9","0","0"
"6177-VTITE","21","900.55","0","0"
"6004-KITZM","18","1155.35","0","0"
"4092-ZAVRG","21","1509.74","0","0"
"3993-QUNVJ","25","1567.7","0","0"
"3598-DNURW","20","1285.38","0","0"
"3271-HYHDN","18","899.22","0","0"
"2820-XGXSB","24","1771.84","0","0"
"2676-DZINU","26","1715.4","0","0"
"0187-ERLSR","16","1072.63","0","0"
